Timestamp;Value
2009-12-24;-3878
2009-12-25;-3881
2009-12-26;-3884
2009-12-27;-3888
2009-12-28;-3891
2009-12-29;-3895
2009-12-30;-3898
2009-12-31;-3902
2010-01-01;-3904
2010-01-02;-3907
2010-01-03;-3910
2010-01-04;-3913
2010-01-05;-3917
2010-01-06;-3919
2010-01-07;-3923
2010-01-08;-3927
2010-01-09;-3931
2010-01-10;-3935
2010-01-11;-3939
2010-01-12;-3942
2010-01-13;-3945
2010-01-14;-3949
2010-01-15;-3952
2010-01-16;-3955
2010-01-17;-3958
2010-01-18;-3961
2010-01-19;-3965
2010-01-20;-3970
2010-01-21;-3971
2010-01-22;-3974
2010-01-23;-3977
2010-01-24;-3980
2010-01-25;-3983
2010-01-26;-3987
2010-01-27;-3991
2010-01-28;-3994
2010-01-29;-3998
2010-01-30;-4001
2010-01-31;-4005
2010-02-01;-4008
2010-02-02;-4012
2010-02-03;-4015
2010-02-04;-4018
2010-02-05;-4020
2010-02-06;-4024
2010-02-07;-4027
2010-02-08;-4032
2010-02-09;-4036
2010-02-10;-4041
2010-02-11;-4043
2010-02-12;-4048
2010-02-13;-4050
2010-02-14;-4054
2010-02-15;-4060
2010-02-16;-4062
2010-02-17;-4063
2010-02-18;-4066
2010-02-19;-4070
2010-02-20;-4073
2010-02-21;-4077
2010-02-22;-4080
2010-02-23;-4083
2010-02-24;-4086
2010-02-25;-4089
2010-02-26;-4093
2010-02-27;-4096
2010-02-28;-4100
2010-03-01;-4102
2010-03-02;-4107
2010-03-03;-4109
2010-03-04;-4113
2010-03-05;-4117
2010-03-06;-4121
2010-03-07;-4124
2010-03-08;-4127
2010-03-09;-4130
2010-03-10;-4134
2010-03-11;-4138
2010-03-12;-4140
2010-03-13;-4143
2010-03-14;-4147
2010-03-15;-4149
2010-03-16;-4152
2010-03-17;-4155
2010-03-18;-4157
2010-03-19;-4160
2010-03-20;-4162
2010-03-21;-4165
2010-03-22;-4169
2010-03-23;-4172
2010-03-24;-4176
2010-03-25;-4179
2010-03-26;-4183
2010-03-27;-4186
2010-03-28;-4191
2010-03-29;-4193
