Timestamp;Value
2009-10-10;-3741
2009-10-11;-3740
2009-10-12;-3739
2009-10-13;-3738
2009-10-14;-3737
2009-10-15;-3736
2009-10-16;-3736
2009-10-17;-3737
2009-10-18;-3737
2009-10-19;-3737
2009-10-20;-3739
2009-10-21;-3738
2009-10-22;-3737
2009-10-23;-3738
2009-10-24;-3740
2009-10-25;-3740
2009-10-26;-3743
2009-10-27;-3746
2009-10-28;-3747
2009-10-29;-3749
2009-10-30;-3752
2009-10-31;-3755
2009-11-01;-3757
2009-11-02;-3760
2009-11-03;-3763
2009-11-04;-3766
2009-11-05;-3769
2009-11-06;-3771
2009-11-07;-3772
2009-11-08;-3774
2009-11-09;-3776
2009-11-10;-3779
2009-11-11;-3783
2009-11-12;-3786
2009-11-13;-3789
2009-11-14;-3789
2009-11-15;-3790
2009-11-16;-3790
2009-11-17;-3793
2009-11-18;-3795
2009-11-19;-3796
2009-11-20;-3798
2009-11-21;-3800
2009-11-22;-3802
2009-11-23;-3805
2009-11-24;-3807
2009-11-25;-3810
2009-11-26;-3813
2009-11-27;-3816
2009-11-28;-3818
2009-11-29;-3822
2009-11-30;-3824
2009-12-01;-3825
2009-12-02;-3828
2009-12-03;-3831
2009-12-04;-3834
2009-12-05;-3836
2009-12-06;-3838
2009-12-07;-3842
2009-12-08;-3846
2009-12-09;-3848
2009-12-10;-3851
2009-12-11;-3854
2009-12-12;-3857
2009-12-13;-3860
2009-12-14;-3863
2009-12-15;-3867
2009-12-16;-3869
2009-12-17;-3872
2009-12-18;-3875
2009-12-19;-3877
2009-12-20;-3880
2009-12-21;-3882
2009-12-22;-3884
2009-12-23;-3887
2009-12-24;-3890
2009-12-25;-3895
2009-12-26;-3897
2009-12-27;-3900
2009-12-28;-3903
2009-12-29;-3907
2009-12-30;-3910
2009-12-31;-3912
2010-01-01;-3915
2010-01-02;-3918
2010-01-03;-3921
2010-01-04;-3925
2010-01-05;-3928
2010-01-06;-3931
2010-01-07;-3935
2010-01-08;-3941
2010-01-09;-3945
2010-01-10;-3949
2010-01-11;-3952
2010-01-12;-3954
2010-01-13;-3958
2010-01-14;-3960
2010-01-15;-3964
2010-01-16;-3968
2010-01-17;-3970
2010-01-18;-3973
2010-01-19;-3976
2010-01-20;-3980
2010-01-21;-3983
2010-01-22;-3986
2010-01-23;-3990
2010-01-24;-3993
2010-01-25;-3997
2010-01-26;-3999
2010-01-27;-4003
2010-01-28;-4008
2010-01-29;-4010
2010-01-30;-4014
2010-01-31;-4018
2010-02-01;-4021
2010-02-02;-4025
2010-02-03;-4028
2010-02-04;-4032
2010-02-05;-4035
2010-02-06;-4037
2010-02-07;-4041
2010-02-08;-4044
2010-02-09;-4048
2010-02-10;-4052
2010-02-11;-4055
2010-02-12;-4058
2010-02-13;-4062
2010-02-14;-4066
2010-02-15;-4072
2010-02-16;-4076
2010-02-17;-4078
2010-02-18;-4079
2010-02-19;-4081
2010-02-20;-4085
2010-02-21;-4088
2010-02-22;-4092
2010-02-23;-4095
2010-02-24;-4099
2010-02-25;-4102
2010-02-26;-4106
2010-02-27;-4109
2010-02-28;-4113
2010-03-01;-4116
2010-03-02;-4120
2010-03-03;-4123
2010-03-04;-4127
2010-03-05;-4129
2010-03-06;-4133
2010-03-07;-4136
2010-03-08;-4140
2010-03-09;-4143
2010-03-10;-4146
2010-03-11;-4150
2010-03-12;-4152
2010-03-13;-4155
2010-03-14;-4159
2010-03-15;-4161
2010-03-16;-4165
2010-03-17;-4167
2010-03-18;-4170
2010-03-19;-4173
2010-03-20;-4175
2010-03-21;-4179
2010-03-22;-4183
2010-03-23;-4187
2010-03-24;-4190
2010-03-25;-4194
2010-03-26;-4198
2010-03-27;-4201
2010-03-28;-4205
2010-03-29;-4209
2010-03-30;-4212
2010-03-31;-4215
